Title,Location,Description,Link
C# Developer,"Ubisoft293 reviewsMontréal, QC","Company Description
Creating the unknown since 1997. At Ubisoft Montreal, we’re united by a common goal: to enrich players’ lives with original and memorable gaming experiences. We develop iconic franchises that engage millions around the world, like Assassin’s Creed, Far Cry, For Honor, Rainbow Six, Watch Dogs – and, well, we can’t disclose all our secrets just yet.
Our biggest strength is – and always will be – our people: the immensely talented team members surrounding, supporting, and producing the high-quality games that have made our studio what it is today.
When you join Ubi MTL, you’ll discover a workplace that sparks inspiration and connection: an environment with a variety of voices, identities, backgrounds, experiences, and perspectives. We offer a collaborative space that provides career advancement, a host of learning opportunities, and meaningful benefits centred on well-being.

Here, our shared desire to dream big, take risks, and constantly improve contributes to the innovation and boundary-pushing that ultimately leads to our collective success.

Job Description
Ubisoft is seeking a Back-End C# Developer to join our IT Department, and more specifically our Customer and Marketing solutions team to design and develop web applications. You will join an international team mainly located in Montreal. Reporting to a development team lead (yes, your manager knows how to code!), you will collaborate with your teammates to build a wide range of products.
Your main topics will be to develop:
E-sport tools both for tournament organization and streaming;
Internal transversal tools that target internal developers;
Products to enable Ubisoft content indexation and search.
You will design and build solutions that will reach millions of players across the globe by creating new and performant products. In this role, you’ll have a positive impact on millions of users, using your passion for building and optimizing web application with the goal of creating a rich and fluid interaction with our gamers.
Your profile should be back-end developer or full-stack developer with an important background / interest in back-end technologies.
Responsibilities
Develop and maintain web applications, databases and APIs targeting both internal and external clients;
Identify and troubleshoot system deficiencies and recommend solutions;
Work closely with teammates for designing, coding, and test-plan reviews to help build robust applications and foster knowledge sharing;
Participate in code reviews;
Work alongside DevOps team to ensure the support of developed applications in all environments.

Qualifications
We are looking for someone that have a strong back-end programming experience. Here are the main tech skills that we are seeking:
You are proficient with .NET Core ecosystem (ASP.NET Core, Entity Framework…)
You have experience with relational and non-relational databases
You already worked with AWS (or Azure)
You master the web ecosystem, and you understand (or already worked with) technologies like Web Sockets, Graphql or WebRTC
You are familiar with different caching strategies
You have an ability to work as part of a team with good communication & interpersonal skills, written and spoken.
Additional Information
Just a heads up: If you require a work permit, your eligibility may depend on your education and years of relevant work experience, as required by the government.
Skills and competencies show up in different forms and can be based on different experiences, that's why we strongly encourage you to apply even though you may not have all the requirements listed above.
At Ubisoft, you can come as you are. We embrace diversity in all its forms. We’re committed to fostering a work environment that is inclusive and respectful of all differences.",https://ca.indeed.com/rc/clk?jk=7fef30c617030297&fccid=237908de095b6446&vjs=3
Full Stack Software Developer - R1137,"Ooma, INCVancouver, BC","Full Stack Software Developer
Company Overview: Here at Ooma we empower people to connect in smarter ways. We do this by creating powerful communication experiences through our cloud-based platform to bring people together at work and at home. Our solutions help small business owners stay connected with their customers and manage their businesses from anywhere. For larger companies we provide customized unified communications solutions to meet their unique needs. At home, we help our customers connect with their loved ones by providing the #1 rated VoIP phone service available. We also provide them with peace of mind though our innovative smart home security solution. At Ooma, all our products and services are priced competitively, because we believe advanced technology should be accessible to all.


Every day, we strive to uphold our brand values:

We care that everyone loves their Ooma experience.

We think big to innovate and revolutionize markets.

We create smarter solutions that uniquely deliver both superior experiences and superior value.

We embrace diversity of thought to make the best decisions.

We respect that problems are best solved by fact-based discussions and positive intent.

We choose to be a force for good in the world.


Working at Ooma means being a team player, while allowing your individual voice to come through. And, you'll receive competitive compensation, benefits and generous company perks.
What are we looking for?

What’s your part in all this? We’re looking for a Full Stack Software Developer to join our growing team! You'll be responsible for building and maintaining new and existing features in our distributed service architecture. We value moving fast and responding to change quickly, so don’t hesitate to propose adoption of new technologies that help us deliver value and functionality to our customers.


Sound like you? Might be time for you to put your headphones on and snuggle down to code with your favourite office dog, or grab a pair programming partner, and code away the afternoon…


We have a talented engineering team - people of all walks of life working on different projects. It’s like in a pirate ship, we may be a bunch of lunatics but we work as one, we pay attention and motivate each other, and often end the day with a good laugh. After all, you’re gonna need a team you can count on!
What skills should I bring to the table?

Great communication
Excellent judgement and decision-making skills
Strong time-management skills
High technical ability


What should my background be?

Associate's Degree or Bachelor's Degree in Computer Science, Business Information Systems, or similar field, or equivalent work experience required
At least 4 years of hands-on full stack development experience
Ability to perform code reviews, create detailed plans and willingness to work collaboratively with a development team
Excellent technical, troubleshooting and analytical skills
Telecommunications/VOIP experience and an understanding of network topology and telecommunications architecture is a plus


Technical Skills

One or more client-side MVC frameworks with a preference for React
HTML5, CSS, JavaScript, JSON
Experience with RESTful APIs
Distributed version control - Git on GitHub/Bitbucket
Linux (CentOS a plus)
Apache, Nginx
Familiar with both following and leading an Agile / Scrum process
js experience is a plus
Mobile development experience is a plus


Who should I be?

You love problem solving, puzzles and anything that makes you scratch your head!
You’re a coder with a good few years experience building stuff, but who isn’t afraid to learn, try new things, and challenge the status quo
Maybe you’ve spent some time working with real-time distributed systems
Bonus points if you actually use similar tools today, but if you don’t we’re happy to teach you
You’ve got a few projects under your belt, and you’ve made some mistakes. We value people who learn from mistakes and improve themselves in tiny ways every day. But of course you don’t make the same mistakes over and over again because you know how to use automated tests and production monitoring to catch them next time around ;)
You might have your own side projects which display your love for tinkering, trying and learning new things. You’re also active in the open source community, have a GitHub account and are excited to share with us some of the projects you’ve been working on!
You know how to get your work done without being micro-managed, because you use your initiative to do the right things at the right time. You love taking ownership of the problem and solution, collaborating and seeing it through to delivering value.
You give your own opinion, ask questions and aren’t afraid to suggest a better solution
Willing to take calculated risks for the good of the product and company
You’re very comfortable giving and receiving feedback
Strong sense of ownership and passion for engineering great products with stellar user experiences
Yourself


Cool Beans, but why should I work at Ooma Enterprise/Voxter?

We have an open culture where we openly share our results and where your input is truly valued
Working here means being part of a team that works hard, fast and has fun! We aim to keep growing as a company, as a team, and as individuals. Our company is made up of truly exceptional people who found a career-making opportunity here
You get to be an integral part of building an amazing product and client experience, in a company big enough for growth but lean enough to get stuff done!
Work-life balance is encouraged, and sometimes enforced! ;)
We offer flexible work schedules, an open vacation policy, and an extended benefits plan
Our large Yaletown office - complete with snacks and arcade!
We have a dog-friendly office
We value the individuality and contribution of each of our team members
Collaboration, personality, growth, great results, and baked goods are wholeheartedly encouraged


This sounds like me, so what’s next?

Obviously, we’re looking to ensure it’s a solid fit from both sides: we want you to step into a role you love, and we want to offer you a place you’re proud to come to every day. We trust you to do your best work with minimal direction, so we try our best to build an environment of mutual trust and empowerment.


If this sounds like your next role, don’t hesitate, get in touch, apply now, hit that button, get it done and have a chat with us!
Benefits:

Full Medical/Dental/Vision benefits
RRSP Match
Paid time off (PTO)
Paid Holidays",https://ca.indeed.com/rc/clk?jk=c1a5a45a65bd386b&fccid=d3839a660bfcac01&vjs=3
C# Developer,"Ubisoft293 reviewsMontréal, QC","Company Description
Creating the unknown since 1997. At Ubisoft Montreal, we’re united by a common goal: to enrich players’ lives with original and memorable gaming experiences. We develop iconic franchises that engage millions around the world, like Assassin’s Creed, Far Cry, For Honor, Rainbow Six, Watch Dogs – and, well, we can’t disclose all our secrets just yet.
Our biggest strength is – and always will be – our people: the immensely talented team members surrounding, supporting, and producing the high-quality games that have made our studio what it is today.
When you join Ubi MTL, you’ll discover a workplace that sparks inspiration and connection: an environment with a variety of voices, identities, backgrounds, experiences, and perspectives. We offer a collaborative space that provides career advancement, a host of learning opportunities, and meaningful benefits centred on well-being.

Here, our shared desire to dream big, take risks, and constantly improve contributes to the innovation and boundary-pushing that ultimately leads to our collective success.

Job Description
Ubisoft is seeking a Back-End C# Developer to join our IT Department, and more specifically our Customer and Marketing solutions team to design and develop web applications. You will join an international team mainly located in Montreal. Reporting to a development team lead (yes, your manager knows how to code!), you will collaborate with your teammates to build a wide range of products.
Your main topics will be to develop:
E-sport tools both for tournament organization and streaming;
Internal transversal tools that target internal developers;
Products to enable Ubisoft content indexation and search.
You will design and build solutions that will reach millions of players across the globe by creating new and performant products. In this role, you’ll have a positive impact on millions of users, using your passion for building and optimizing web application with the goal of creating a rich and fluid interaction with our gamers.
Your profile should be back-end developer or full-stack developer with an important background / interest in back-end technologies.
Responsibilities
Develop and maintain web applications, databases and APIs targeting both internal and external clients;
Identify and troubleshoot system deficiencies and recommend solutions;
Work closely with teammates for designing, coding, and test-plan reviews to help build robust applications and foster knowledge sharing;
Participate in code reviews;
Work alongside DevOps team to ensure the support of developed applications in all environments.

Qualifications
We are looking for someone that have a strong back-end programming experience. Here are the main tech skills that we are seeking:
You are proficient with .NET Core ecosystem (ASP.NET Core, Entity Framework…)
You have experience with relational and non-relational databases
You already worked with AWS (or Azure)
You master the web ecosystem, and you understand (or already worked with) technologies like Web Sockets, Graphql or WebRTC
You are familiar with different caching strategies
You have an ability to work as part of a team with good communication & interpersonal skills, written and spoken.
Additional Information
Just a heads up: If you require a work permit, your eligibility may depend on your education and years of relevant work experience, as required by the government.
Skills and competencies show up in different forms and can be based on different experiences, that's why we strongly encourage you to apply even though you may not have all the requirements listed above.
At Ubisoft, you can come as you are. We embrace diversity in all its forms. We’re committed to fostering a work environment that is inclusive and respectful of all differences.",https://ca.indeed.com/rc/clk?jk=7fef30c617030297&fccid=237908de095b6446&vjs=3
Database Software Developer,"High Tech GenesisOttawa, ON","Are you a Database Software Developer who has experience with Microsoft Azure? If, yes, we want you to join our team of developers.Responsibilities:· Work with product management, engineering and architecture to develop a new product/solution· Participate and contribute through the full development life-cycle including unit testing design, development, security checks and publishing· Work within your development team to design, develop and deliver the new product/solution· Provide 3rd level support for field issues· Available for after hours on call support on a rotational basisRequired Skills and Experience:· MUST qualify for Top Secret Security Clearance (Canadian Citizen with 10 years verifiable residence)· 5+ years of experience working in SQL Database Development· Experience working with Microsoft Azure· Capable of working with Back-end technologies: C#· Degree or Diploma from accredited institution in either Computer Science, Software Engineering or equivalent· Strong written and verbal communications· Familiar with Agile development practices· Skilled in building customer-facing applications· Experience supporting enterprise level databasesNote 1: You MUST be legally entitled to work in Canada (i.e., possess Canadian Citizenship, Permanent Residency or Valid Work Permit)Note 2: High Tech Genesis Inc. is an Equal Opportunity Employer.Note 3: In accordance with the Accessibility for Ontarians with Disabilities Act (AODA), HTG will provide accommodation accessible formats and communication supports for the interview process upon request.Note 4: Please submit an MS Word version of your resume when applying for this position.Note 5: Disregard the salary scale it is an estimate that is provided by Indeed, not High Tech Genesis. Salary will be discussed and commensurate with experience.Reference ID: ID# 05PS1004DSDJob Type: Full-timeSalary: $60,940.00-$97,155.00 per yearSchedule:8 hour shiftWork remotely:No",https://ca.indeed.com/company/High-Tech-Genesis/jobs/Database-Software-Developer-1362b00c01091f3c?fccid=af0f5dd582c553f5&vjs=3
Software Engineer Intern - Summer 2022,"Momentive24 reviewsOttawa, ON","Software Engineer Intern - Summer 2022

Who we are and what we do

Momentive (NASDAQ: MNTV) (formerly SurveyMonkey) is a leader in agile experience management, delivering powerful, purpose-built solutions that bring together the best parts of humanity and technology to redefine AI. Momentive products, including GetFeedback, SurveyMonkey, and its brand and market insights solutions, empower decision-makers at 345,000 organizations worldwide to shape exceptional experiences. More than 20 million active users rely on Momentive to fuel market insights, brand insights, employee experience, customer experience, and product experience. Ultimately, the company's vision is to raise the bar for human experiences by amplifying individual voices. Learn more at Momentive.ai.

The Role

As a Software Engineer Intern, you'll have the opportunity to contribute to our products alongside our full time Engineering teams. You'll have the opportunity to build out a solution while working on a frontend or backend project, or even work on a project that spans both. You'll be given all of the tools necessary to be successful while learning from talented engineers in a welcoming and constructive environment.


During your summer here, you'll have a dedicated mentor and manager to support you throughout the program. Our interns are invited to social and developmental events which provide accessibility to leadership, social responsibility and team building opportunities.

Requirements
Currently enrolled Junior (graduating in Spring 2023) pursuing a Bachelor's degree in Computer Science, Software Engineering, or a similar degree
Solid CS fundamentals (data structures and algorithms)
Experience with programming languages and frameworks such as Python, Java, or C++
Experience with web development technologies including HTML, CSS, or JavaScript
Eagerness to learn and get hands on experience with the latest technologies
Willingness to own a project from start to finish
Strong analytical and problem solving skills
Excellent written and verbal communication skills
Strong work ethic and desire to have fun working with great people


What we offer our employees


Momentive is a place where the curious come to grow and shape what's next. By embedding inclusion into our processes, policies, and culture for our 1,400+ employees across North America, Europe, and APAC, we're building a workplace where people of every background can excel. We've won multiple awards and received recognition for our forward-looking policies, including extended parental and bereavement leave, vendor benefits standards, and Take 4 sabbaticals.


Momentive is featured as a Glassdoor 2021 Best Place to Work and National Capital Region's Top Employer in Canada (2021). In 2020, Momentive was recognized as a top place to work by Glassdoor Best Places to Work, Fortune Best Places to Work in the Bay Area, Parity.org's Best Companies for Women to Advance, and National Capital Region's Top Employers in Canada. Momentive has consistently been recognized by Great Place to Work® and Fortune as a top workplace since 2018, and we have also won numerous awards as a leader in global survey software, including being named among the G2 Best Software Companies, CNBC's Disruptor 50, and the Forbes Cloud 100.


Our commitment to an inclusive workplace


Momentive is an equal opportunity employer and is committed to providing a workplace free from harassment and discrimination. We celebrate the unique differences of our employees because that is what drives curiosity, innovation, and the success of our business. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, gender identity or expression, age, marital status, veteran status, disability status, pregnancy, parental status, genetic information, political affiliation, or any other status protected by the laws or regulations in the locations where we operate. Accommodations are available for applicants with disabilities.


Learn more about our diversity, equity, and inclusion efforts here.",https://ca.indeed.com/rc/clk?jk=f3c1f5ba0b1fac96&fccid=7ce633552bb08ee6&vjs=3
Web developer,"RenoAssistance IncLaval, QCRemote","or equivalent experience
Business Equipment and Computer Applications
Search Engine Optimization (SEO)
WordPress
Programming Languages
PHP
JavaScript
HTML
CSS
JQuery
Python
Microsoft Dynamics AX (x++)
PowerBuilder
Security and Safety
Criminal record check
Work Conditions and Physical Capabilities
Fast-paced environment
Work under pressure
Attention to detail
Sitting
Work Location Information
Willing to relocate
Personal Suitability
Initiative
Effective interpersonal skills
Team player
Excellent oral communication
Excellent written communication
Client focus
Dependability
Judgement
Organized
Workplace information
Remote work available",https://ca.indeed.com/rc/clk?jk=fa51d073caaf4054&fccid=28254ede0b90299d&vjs=3
SENIOR SOFTWARE DEVELOPER,"EmergensysQuebec City, QC","POSITION DESCRIPTION

Be part of a team that is implementing the new 911 generation in Quebec and around the world!
We have an immediate position available to develop the next generation of our dispatch system for all our customers, including Urgences-Santé (one of the largest centers in North America) and the country of Malaysia (and YES, if you wish, it is possible that the work will require on site work!). In this role, you should be able to write .NET code (mainly C#) in order to develop new features in one of the new applications used for dispatch.

Our team is inter-functional, self-organized and autonomous. Ideal candidates will have the opportunity to work daily with an agile development team composed of the product manager and stakeholders in a collaborative manner.

Still interested? If you have relevant work experience, the appropriate qualifications and want to use your skills and work experience with a great team in the heart of downtown Quebec City, we encourage you to apply NOW.

We will be pleased to introduce you to our modern offices including: video games, soccer table, cable TV, all-you-can-eat candy for team members and much more.

FRENCH ORAL AND WRITING SKILLS REQUIERED

ENVIRONMENT

Develop new applications to meet the future needs of the 911 service:

Use tomorrow's technologies (Elastic Stack, Machine Learning, C# 8 and .Net Core 3.0).
100% RESTful application builds using the asynchronous principles of Async/Await
User interface designed in collaboration with users and applying the highest UX/UI standards.
Development is done in an agile framework, the candidate must be in accordance with the principles of the ""Daily Scrum"", ""Code Review"", ""Unit Tests"", ""Continuous Deployment"", etc.

TECHNICAL EXPERTISE

Extensive experience in C# and platform programming.
Excellent knowledge of distributed systems, multithreaded and real-time applications.
Good understanding of the ""SOLID"" principles and particular attention to code quality.
Critical eye for software design and development.

PLUSES

Have an interest in interface development for Windows applications (XAML).
Experience with MVVM, TDD and BDD development principles.
BACC in Computer Science, Software Engineering, Computer Engineering or other related degrees.

THE IDEAL CANDIDATE KEY VALUES:

Participates in Team Building activities (Défi évasion, Loge corporative Centre Videotron,...).
Is team-oriented, open, honest and collaborative.
For you, it's more than a job, you have the passion to do a remarkable job.
Has strong work ethic and outstanding professionalism, after all, we save lives.
Is visionary and optimistic, enthusiastic about creating a promising future for the organization.",https://ca.indeed.com/rc/clk?jk=e59e567806f48477&fccid=27523dd5dae8d307&vjs=3
Software Engineer (Co-Op) - January 2022,"KabamVancouver, BC","Are you a 3rd or 4th-year student with a passion for video games? Do you have the desire to help create compelling interactive experiences for our players? Are you excited by the idea of working with iconic franchises from the Pixar and Disney Universe? Well, we have the opportunity for you!

We are looking for aspiring Software Engineers to work with our experienced team of Engineers as part of a co-op program which begins in January and extends over a four (4) month term. During this time, you will work within a collaborative environment while gaining knowledge and first-hand experience in building Front End (Unity + Mobile) or Back End (NodeJS + Mongo) features. What you work on will be enjoyed by millions!

At Kabam, we’re constantly raising the bar of excellence in free-to-play mobile gaming. We hire for passion and diversity so that together as a team we can triumph in our collective skill. Our teams are made up of a fusion of personalities and interests bound together by a collaborative nature, fun-loving culture and a drive to do what it takes to make great games. And this is where you come in…


Co-ops will have the opportunity to contribute to many areas of work, including:
With the support of existing programmers, understand given requirements, write code, pass code reviews, build a test and deployment plan and get your features live!
Act upon feedback from stakeholders to refine and hone features
Working closely with producers, designers and other programmers in a highly collaborative and agile environment
Other ad-hoc projects and/or requirements that may arise


We are looking for individuals who:
Are in 3rd or 4th year in a Bachelor’s degree in Computer Science, or equivalent.
Are highly motivated with the drive to take on new challenges and problem-solving.
Have excellent communication skills, both verbally and written.
What will make you stand out:
Up-to-date understanding of the latest mobile gaming trends
Passion for mobile free-to-play games
Knowledge of object oriented languages (Either C#, and/or JavaScript are a BIG plus)
Knowledge of relevant environments (Unity, NodeJS, Google Cloud are a plus)
Strong understanding of both relational and non-relational databases is an asset
Experience working on game related projects is an asset


Together, we can create and support some of the best games ever made and continue to entertain the world!
About Kabam
Kabam is a world leader of developing entertaining, immersive, and highly social multiplayer games for mobile devices. They merge consumer behaviour with the art of game design to create experiences that are enjoyed by millions of players across the globe. Each game has raised the benchmark in mobile gaming, bringing high-quality graphics, next-generation technology and revolutionary gameplay to the console in every player’s pocket.
Kabam has partnered with leading entertainment brands like Disney, Hasbro and Universal to create mobile games based on some of the world’s most iconic franchises.
Kabam’s games have generated hundreds of millions of downloads including Fast & Furious 6: The Game, Fast & Furious: Legacy, Marvel Contest of Champions, Transformers: Forged to Fight, Shop Titans and Mini Guns. These games have also received multiple awards such as Apple’s Editor’s Choice and Google Play’s Best Game of the Year.
Founded in 2006, Kabam has studios and offices in Vancouver, Montreal, Charlottetown, San Francisco and Austin. Kabam is a wholly-owned subsidiary of Netmarble Games.
Kabam is an Equal Employment Opportunity employer committed to building a diverse and equitable workplace, and inclusive environment for all existing and potential employees. Employment decisions are based on candidate qualifications and business need, not race, color, ancestry, place of origin, age, sex (including pregnancy), gender identity or expression, sexual orientation, political belief, religion, creed, marital or family status, medical condition, genetic information, physical or mental disability, military or veteran status, prior criminal conviction or any other protected class in accordance with federal, state or provincial and local laws and ordinances. Accommodations will be provided as requested by candidates taking part in all aspects of the selection process.",https://ca.indeed.com/rc/clk?jk=732f4ec0cb2453f6&fccid=fde47f06a6b44d5e&vjs=3
Software Developer - RBC Ventures (Ownr),"RBC4,204 reviewsToronto, ON","RBC Ventures is new kind of organization – one that marries the strength of one of the world’s most trusted and successful financial institutions with a mission to reimagine the role we play in people’s lives. We are building a world class team focused on creating new experiences, exploring new business models and developing new relationships that add value to how people live and work.
Ownr is on an ambitious mission to help entrepreneurial Canadians start, maintain and grow their businesses. We are building a platform that takes the difficulty out of registering and maintaining sole-proprietorships and corporations, letting our incredible owners save time and money to focus on what matters - building their business. We’ve already helped start 14,000 companies, and we’re just getting started. As an RBC Venture we are both a startup and a part of Canada’s largest bank, enjoying the benefits of each. We chart our own course in developing the technology our clients need, delivering frequently and continually improving our application and pipeline. At the same time we have direct access to the technical resources, expertise and opportunities of one of the world’s leading financial institutions.
We are looking for a talented and passionate team-player to join the Ownr family as a full-stack JavaScript Developer. You’ll be playing a big part in building the next evolution of our platform as we move to provide extensive new capabilities to business owners, working alongside a close-knit group of fun and ambitious engineers and product/UX designers. Your experience will contribute to the functionality, reliability, and delivery of our fast-moving Node/React-based application, leveraging the latest JavaScript-based tooling and best practices. You will also have an opportunity to learn and expand our AWS infrastructure and DevOps pipelines. As part of a young and growing team, you will have daily opportunities to build on the skills needed to thrive as a well-rounded contributor and technical leader, uniquely in both startup and enterprise environments.
What will you do?
Work with a team of skilled developers creating a rapidly evolving consumer-facing platform.
Look for opportunities to disrupt from within and continually expand what is possible through technology.
Work within a cross functional team aimed at delivering high valued solutions.
Work with modern JavaScript frameworks and tooling.
Code, test and implement full stack solutions to meet business needs.
Create intuitive, robust and reusable user interfaces using modern frameworks.
Maintain code quality and best practices across the stack.
About You:
You believe all customer experiences should be simple and effective.
A creative problem solver that can develop a plan, take ownership of tasks, and are outcome focused.
A team player, technical mentor, keen to coach others and share ideas with your team.
An exceptional communicator able to articulate technical issues in plain language.
You keep up to date on web and mobile development trends and understanding how it applies to our customers’ needs.
You understand web/application security and the importance of data privacy.
What do you need to succeed?
Must Have:
2 - 4 years of solid hands-on programming experience, with a sizable portion in JavaScript.
You’ve got your favourite JS frameworks but are still comfortable with vanilla code.
You’ve used or at least understand the merits of Typescript.
Experience with, or a desire to learn, a GraphQL-based stack.
Experience with React and modern state management
An understanding of APIs and have a high-level knowledge of microservice patterns.
Good understanding of data structures and experience with both relational and non-relational Databases.
You have written unit tests and have some knowledge of JavaScript-based testing frameworks.
Experience with source control (e.g. Git + Github) and modern software delivery techniques and tools, including pull requests.
Some exposure to DevOps best practices and cloud computing
Nice To Have:
Post-secondary degree or diploma in a computer or design related program.
Experience with AWS, continuous integration tools and automated testing.
What’s in it for you?
We are building something completely new in a dynamically changing industry. It’s never been done before. You have the opportunity to leverage the significant resources of our business and brand to make that change happen in the real world.
A comprehensive Total Rewards Program including bonuses and flexible benefits
Leaders who support your development through coaching and managing opportunities
Ability to make a difference and lasting impact
Work in an agile, collaborative, progressive, and high-performing team
The opportunity to interface with senior level executives from many different parts of the organization
RBC Ventures
Learn more about RBC Tech Jobs

Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.

JOB SUMMARY
City: Toronto
Address: 20 Bay Street
Work Hours/Week: 37.5
Work Environment: Office
Employment Type: Permanent
Career Level: Experienced Hire/Professional
Pay Type: Salary + Variable Bonus
Required Travel(%): 0-25
Exempt/Non-Exempt: N/A
People Manager: No
Application Deadline: 12/17/2021
Platform: Technology and Operations
Req ID: 378318
Ad Code(s): RBC Ventures; ownr",https://ca.indeed.com/rc/clk?jk=0f7cabbb6a97bf8d&fccid=537b899e30af3338&vjs=3
software engineer,"The Fitting Room Canada Inc.Toronto, ONRemote","or equivalent experience
Business Equipment and Computer Applications
Microsoft Visual Studio
Sublime Text
Work Setting
Startup company
Specific Skills
Research, evaluate and synthesize technical information to design, develop and test computer-based systems
Programming Languages
Object-Oriented programming languages
C++
SQL
Python
Own Tools/Equipment
Computer
Internet access
Cellular phone
Work Conditions and Physical Capabilities
Fast-paced environment
Attention to detail
Sitting
Tight deadlines
Computer and Technology Knowledge
Internet
Database software
3D graphic software
Programming languages
Software development
SQL
Cloud
Personal Suitability
Initiative
Effective interpersonal skills
Accurate
Team player
Excellent oral communication
Excellent written communication
Workplace information
Remote work available",https://ca.indeed.com/rc/clk?jk=b4f515f2add884fe&fccid=2711db1afc8a1ca7&vjs=3
Software Developer,"big river technologies IncGananoque, ONTemporarily remote","About big river technologies
We are seasoned industry veterans with decades of experience in capital markets technology and delivery excellence. We created big river technologies to be the boutique customer-centric firm we always wanted to work for, truly focused on client success. Headquartered in Gananoque, in the heart of the beautiful 1000 Islands region of Eastern Ontario and offices in New York City and Toronto, we work for some of the world’s largest and most successful financial organizations and software vendors. Our Business-Driven Development methodology ensures projects are delivered on time & budget. We have three core practices: FinTech, user experience discovery, and enterprise computing. Our work spans end-to-end solution development including ideation, architecture, design, software development, quality assurance and overall delivery. We’re passionate about what we do. Come join us, you will thrive.
Job Description
The Software Developer incorporates a client focus within the development process using a variety of technologies such as Core Java (8), Spring Boot microservices, Spring Data JPA, React, Web UI (HTML5, CSS3, JavaScript) and systems design. Our culture fosters bright, hard-working, fun individuals who have a passion for solving problems. Those that possess leadership abilities, work in a collaborative, multidisciplinary environment, and deliver extraordinary results on behalf of clients, will find the greatest success at big river technologies. The opportunities are limitless to develop technical, business and leadership skills, by working with the latest technologies to implement critical business solutions on behalf of clients.
Training programs are available and salary is commensurate with experience.
Responsibilities

Work with a team to deliver a fully functional and testable application
Ensure the solution NFRs meet or exceed proposed specifications
Write tested, idiomatic, and documented code, HTML and CSS
Coordinate the workflow among designers, other coders, and yourself
Build RESTful APIs
Communicate with external web services


Skills and Qualifications

Knowledge of multiple technologies (Java, JavaScript, HTML5, ReactJS, AngularJS, .NET, Salesforce) is a plus
Exemplary communication skills
Team player
Experience working in an Agile team is highly desirable
Create self-contained, reusable, and testable modules and components
Thorough understanding of the responsibilities of the platform, database, API, caching layer, proxies, and other web services used in the system
Write extensive automated Business Driven Development tests based on user stories and Gherkins and run them with testing tools such as jBehave, Cucumber or Protractor (or a well-reasoned alternative)
Create configuration, build, and test scripts for Continuous Integration environments
A university degree in computer science or related discipline or equivalent
Experience in systems integration, software development, package implementation, and/or interactive design.
Ability to define, create and complete a task without a great deal of guidance.
Ability to be creative and innovative, and work well independently and as a team player in a fast-paced consulting environment.


Work Related Expectations
The incumbent will ideally be based out of our Gananoque office but due to COVID-19, we are working 100% remotely, and must be willing to work flexible hours to accommodate client requirements in a variety of time zones. We service clients across North America, Europe and Asia/Pacific regions and vary our working hours accordingly.
big river technologies are committed to employment equity and diversity and welcomes applications from women, visible minorities, aboriginal people, persons with disabilities and persons of any sexual orientation or gender. We are also committed to improving access and opportunities for all individuals, including those with disabilities by identifying and removing barriers that may prevent, inhibit or restrict their access to employment opportunities. If you require accommodation at any stage of our hiring process (application, interviews, assessments, and placement), please contact us via email at hiring@bigrivertech.com. We thank all applicants responding and showing interest to work for us, however; only those interviewed will be contacted.",https://ca.indeed.com/rc/clk?jk=2f293020c7849622&fccid=2311dbdc6024dded&vjs=3
RPA Developer,OGGN Inc.RemoteRemote,"Duration: Initial 6 month
Location: Currently remote

We are seeking a RPA Developer to help automate our client's business processes

Key Responsibilities

Modelling and developing robotic processesUpdating and maintaining standards around RPA best practicesMentoring and guiding peers via code reviews, dev sessions and pair-programmingInvestigating and documenting better practices/alternative solutions that could be used in future development

Minimum Requirements

Minimum 3 years of experience in a software development or automation roleBachelors Degree or equivalentExperience with RPA Software (e.g. UI Path, Automation Anywhere, BluePrism)Experience architecting and developing workflow based solutions or functionalityExperience with web development technologies preferentialComfortable developing on Microsoft Windows in any of Visual Basic, VBA, .NET, SQL, PowerShell, JSONAble to work with APIs from Google Cloud Platform, Microsoft Azure, etcDatabase experience, SQL, SQL Server and relational databases and spreadsheetsExperienced in the Software Development Lifecycle including Waterfall and Agile methodologiesExperience with using Git or related products (GitHub)Willingness to learn and work with minimum supervisionMust be able to multitask and willing to work on multiple projects at a given timeStrong written and verbal communication skillsComfortable interacting with business stakeholders and clientsStrong analytical and problem-solving skills

Email your resume to info@oggninc.com",https://ca.indeed.com/rc/clk?jk=f0918b002ae718f6&fccid=3b2bff59c759be85&vjs=3
